9006774726974499//9007199254740992	-5920726456563899//73786976294838206464	-2190438023664889//36893488147419103232	-2400722351088681//73786976294838206464	-7406874659037423//73786976294838206464	-6195489830006817//73786976294838206464	7482544410810027//36893488147419103232	-4404392934071135//18446744073709551616	1578921070544149//9223372036854775808	-2793457897569109//4611686018427387904	7626708566879071//18014398509481984	3143352665482535//18014398509481984	3468811182762465//144115188075855872	-2424132026808441//18014398509481984	5814391628026601//36028797018963968	6591537660002283//288230376151711744	7598410553803825//9007199254740992	4502329064727727//72057594037927936	6210553441888011//9007199254740992	-2847522722398075//18014398509481984	-5089168092984003//9007199254740992	-8130154674012779//18014398509481984	6657483414524463//9007199254740992	466437466431097//562949953421312	9000014243908651//9007199254740992	-9003516508298299//9007199254740992	5722111314401407//9007199254740992	-4502201130251181//4503599627370496	3789335081919717//9007199254740992	7763272237723401//9007199254740992	-4782919106359237//9007199254740992	-9005382140650417//9007199254740992	-9005670918950565//9007199254740992	9004534714253977//9007199254740992	-4013913037492403//4503599627370496	-9005644169139757//9007199254740992	-8998765653202029//9007199254740992	4502593686455851//4503599627370496	-85685626622933//140737488355328	-9005776305900325//9007199254740992	-9005494287550799//9007199254740992	2251293556911295//2251799813685248	4501912276990319//4503599627370496	4500624879230141//4503599627370496	-562837086914749//562949953421312	4501706980918583//4503599627370496	9005795769812293//9007199254740992	-1125707170757085//1125899906842624
-5054944010509155//73786976294838206464	2251693102221875//2251799813685248	-8485278130308373//295147905179352825856	-7922593873926967//295147905179352825856	8617844148333505//36893488147419103232	-5885936744583861//73786976294838206464	-4335139153287465//1180591620717411303424	644157014538545//4611686018427387904	-4941814336885783//18446744073709551616	5062442541579991//18446744073709551616	7343654546357489//18014398509481984	-6311444136581253//72057594037927936	-2887885673800595//36028797018963968	-1951826535279095//4503599627370496	2391480571737941//36028797018963968	-4301842991621905//288230376151711744	6775707878705383//18014398509481984	-1229939430163353//4503599627370496	6269976805259811//9007199254740992	-4306960799755095//4503599627370496	-6803654008484271//9007199254740992	-3689148829118753//9007199254740992	-920345883651261//72057594037927936	-2651260150002297//4503599627370496	-5094632599553647//9007199254740992	-9003194500312111//9007199254740992	4502457837320981//4503599627370496	-7834007798928411//36028797018963968	1113796435476437//1125899906842624	9003642240891419//9007199254740992	4502388435428271//4503599627370496	-967955694169461//288230376151711744	-8444234788140191//9007199254740992	1077014061146453//1125899906842624	8995644985018291//9007199254740992	1125760562756645//1125899906842624	-9004016558120471//9007199254740992	9005183035219795//9007199254740992	-9002140687972505//9007199254740992	-9004212408219921//9007199254740992	2251218178290745//2251799813685248	1125690461231103//1125899906842624	4125110177852413//18014398509481984	9005095219712309//9007199254740992	4502391158599269//4503599627370496	-562582100316717//562949953421312	-9006103874458259//9007199254740992	-8947004549353581//9007199254740992
6168608182050503//147573952589676412928	-4963496952531219//73786976294838206464	4503340866910409//4503599627370496	2386163696427511//36893488147419103232	-5732468344978131//36893488147419103232	1031533894201325//18446744073709551616	-5926448930612639//295147905179352825856	8401379432780213//147573952589676412928	7713605680277589//36893488147419103232	23121072077839//36028797018963968	8056038156605607//144115188075855872	-7198951277988925//144115188075855872	-2329699123310557//288230376151711744	-4453996056537493//36028797018963968	-883105645677021//18014398509481984	-5172794597403391//36028797018963968	-3923990971781207//4503599627370496	-7040955685328849//9007199254740992	-1088025834777509//1125899906842624	4279856615235869//4503599627370496	9003513258581951//9007199254740992	-8903778993328303//9007199254740992	4502484936020821//4503599627370496	-2249826290170735//2251799813685248	-8992898391493715//9007199254740992	-3740765345640365//18014398509481984	4500351953786613//4503599627370496	1044481289598197//1125899906842624	2250934374425699//2251799813685248	-4501722931017057//4503599627370496	9004125758955313//9007199254740992	-9001152220113817//9007199254740992	-2241246474157187//2251799813685248	9004638491609085//9007199254740992	4502327174124655//4503599627370496	-4502859760929619//4503599627370496	-8987262859135869//9007199254740992	9002556161992251//9007199254740992	-1257663056988577//9007199254740992	9004078997015637//9007199254740992	4501708001568579//4503599627370496	-9005323543962499//9007199254740992	8996094410182437//9007199254740992	2251045887469643//2251799813685248	9004137950251405//9007199254740992	4609348449033171//9007199254740992	9004980091165307//9007199254740992	4502327776244149//4503599627370496
-2127671086254283//147573952589676412928	997974713311933//18446744073709551616	8712315495776471//147573952589676412928	9006822755704733//9007199254740992	-6150032551383631//73786976294838206464	-3316099337355277//36893488147419103232	2652900445007751//147573952589676412928	-2900779232619905//73786976294838206464	1932939027178607//4611686018427387904	-2710840672354317//18446744073709551616	-6837620843584531//18014398509481984	-141731384549043//2251799813685248	-1018974703300911//18014398509481984	5065395982519257//9007199254740992	7593662090660927//144115188075855872	-1793206948663481//36028797018963968	-9002184978927069//9007199254740992	297553660889419//4503599627370496	-7393185784238145//18014398509481984	8991412042017231//9007199254740992	4502938033626703//4503599627370496	804902434167881//1125899906842624	-4502783916880157//4503599627370496	-8395348903946265//36028797018963968	-1443407024354633//4503599627370496	6644906055560777//72057594037927936	-1373198334812895//9007199254740992	8732494344202223//9007199254740992	3424525516060817//9007199254740992	1125704428595161//1125899906842624	-9003750566520023//9007199254740992	9003665465479635//9007199254740992	-4499081309718051//4503599627370496	9003897977492583//9007199254740992	-9004358533907333//9007199254740992	1125379436834789//1125899906842624	4502102570308213//4503599627370496	4502876109968003//4503599627370496	9003529459524419//9007199254740992	9003864061635279//9007199254740992	-9004280137635461//9007199254740992	1125683396118777//1125899906842624	9004830439593243//9007199254740992	4502331556131167//4503599627370496	-4499578655300461//4503599627370496	-4502816397566233//4503599627370496	5136375063912915//9007199254740992	1125770766231299//1125899906842624
5510651279551607//18446744073709551616	3351515074197589//18446744073709551616	-6264706180815857//36893488147419103232	-861534778683373//2305843009213693952	562935540900997//562949953421312	1152407483292047//9223372036854775808	3486944634184649//18446744073709551616	-3416508647470039//36893488147419103232	-1331977416489873//2305843009213693952	-5392969155450615//9223372036854775808	3727854001950189//9007199254740992	294456790135391//2251799813685248	2441428364445861//36028797018963968	-5503302369895265//9007199254740992	-2348914363104549//72057594037927936	3791049670968275//36028797018963968	4530025308250961//9007199254740992	-12101633811313//17592186044416	3101909035036779//9007199254740992	-378161139053367//2251799813685248	-4255273482487761//9007199254740992	-9006099154732699//9007199254740992	8667461125051109//9007199254740992	-8225325616486539//36028797018963968	-5420245082134305//18014398509481984	-6373739524910807//9007199254740992	3934468718745065//18014398509481984	-4174621062093813//4503599627370496	-2879866191884931//9007199254740992	9006131689874479//9007199254740992	-9003684728601549//9007199254740992	9000997782963181//9007199254740992	562827607754723//562949953421312	270687502119855//281474976710656	9004889507977973//9007199254740992	-9001005050573327//9007199254740992	8997168416591087//9007199254740992	2251173423785171//2251799813685248	4499279484326145//4503599627370496	-8878147544015153//9007199254740992	9004160139822851//9007199254740992	-9003657488055407//9007199254740992	2250591812561437//2251799813685248	-4502776058190557//4503599627370496	-9004265079714461//9007199254740992	-1125262981666193//1125899906842624	9003239736033041//9007199254740992	8997295962927473//9007199254740992
-6378003239398111//36893488147419103232	-1755112257065141//295147905179352825856	167645448871077//576460752303423488	-8150846525942297//36893488147419103232	-4060391283802375//73786976294838206464	4503441042827763//4503599627370496	-2705527759493471//18446744073709551616	3066444951983755//18446744073709551616	6053051647413131//18446744073709551616	4045523186172081//4611686018427387904	5082350042336189//144115188075855872	-8662476073221//281474976710656	-148928118988997//1125899906842624	2874090203812089//9007199254740992	-1513203068548541//9007199254740992	4768617415910927//36028797018963968	-2624905877850361//4503599627370496	-8448168935584753//9007199254740992	-3269639527270469//18014398509481984	4502476301960351//4503599627370496	5411113071763197//9007199254740992	-7140199662456383//18014398509481984	4560651456587579//9007199254740992	514243983599201//562949953421312	942084073005947//1125899906842624	-9002874134639071//9007199254740992	-4469250479227763//4503599627370496	-4498110743360821//4503599627370496	7573148195463773//36028797018963968	-3754820500161073//4503599627370496	-2197436081833317//2251799813685248	-8157892197533679//9007199254740992	9005897175025655//9007199254740992	281377004296453//281474976710656	-4499712326744291//4503599627370496	562514488201235//562949953421312	-562723783924265//562949953421312	562661887518497//562949953421312	-9005948755878989//9007199254740992	9005826729841847//9007199254740992	-9000391517394257//9007199254740992	8998999074711989//9007199254740992	1125503691603291//1125899906842624	-4502742936000315//4503599627370496	843664712686919//1125899906842624	-2250873407168223//2251799813685248	-4477577390660085//4503599627370496	-562720946978409//562949953421312
-5607775802607747//18446744073709551616	4381828359105685//18446744073709551616	7988843281483575//18446744073709551616	-3507467113913667//4611686018427387904	5743851147318969//9223372036854775808	2036691680175601//295147905179352825856	4503506720760751//4503599627370496	-3715926751779141//18446744073709551616	-2675084967545785//9223372036854775808	-5003367690019335//36893488147419103232	4939812461586391//9007199254740992	3327133093125277//18014398509481984	7643979735129585//72057594037927936	-731725816514437//1125899906842624	-6464604524450071//36028797018963968	-5573654795193251//36028797018963968	2989951994324509//4503599627370496	-4310155951029//17592186044416	3393704923650551//9007199254740992	-6933508221596375//9007199254740992	-6771867528835739//9007199254740992	-4499348817425289//4503599627370496	5568408110037133//9007199254740992	-792985815453627//2251799813685248	-1290255717812249//4503599627370496	-8295476791727753//9007199254740992	2843324081963639//4503599627370496	9000116437017741//9007199254740992	1125568599295743//1125899906842624	562483981356077//562949953421312	-8997401522222633//9007199254740992	-8991015335027563//9007199254740992	9003281880979919//9007199254740992	-8996420231494393//9007199254740992	-1123164850493969//1125899906842624	1124327291005435//1125899906842624	140633967441841//140737488355328	-8997680674942153//9007199254740992	-281402888224885//281474976710656	8998482559490827//9007199254740992	-4946854214204397//36028797018963968	4493014271886965//4503599627370496	-4502501134455757//4503599627370496	851148850424329//4503599627370496	9000898155803285//9007199254740992	-4502304775583221//4503599627370496	1125764108313695//1125899906842624	-9003100111440747//9007199254740992
-7185846103461053//36893488147419103232	940967782792669//295147905179352825856	-1772904131797051//147573952589676412928	497314190745489//2305843009213693952	-4041951874227247//18446744073709551616	-3613663312167823//18446744073709551616	-6164181287939377//295147905179352825856	4503454668306127//4503599627370496	3618496777488951//18446744073709551616	2745857615867987//18446744073709551616	-6926588398629073//18014398509481984	-2566562262228261//36028797018963968	5528647374040133//36028797018963968	4016028903523885//9007199254740992	1764198427382555//288230376151711744	-6670113376641557//36028797018963968	-4628734205751561//18014398509481984	4249033666136311//18014398509481984	3057546862525883//18014398509481984	-5106066165919525//9007199254740992	-3242929397953655//18014398509481984	7532230654705675//18014398509481984	-2975789620895235//4503599627370496	3078571152569071//144115188075855872	-7894556396311533//36028797018963968	4502324773567377//4503599627370496	-2513124476590353//4503599627370496	6732735516198123//18014398509481984	-9005750598489527//9007199254740992	4502143300274927//4503599627370496	-258652950131493//562949953421312	-9001426301185791//9007199254740992	2250048702780411//2251799813685248	-4420353517682209//4503599627370496	562731385259965//562949953421312	-4499767288012845//4503599627370496	8804951572299093//9007199254740992	9002700819613013//9007199254740992	9005251362638991//9007199254740992	2251052165190157//2251799813685248	4502411970914105//4503599627370496	2251542965665491//2251799813685248	9002243659106207//9007199254740992	-4500951027786153//4503599627370496	4502618054451791//4503599627370496	9004832767012819//9007199254740992	2250651150597603//2251799813685248	-9002493635750285//9007199254740992
5745761492585783//73786976294838206464	4597219709064269//36893488147419103232	6483138552286085//2361183241434822606848	6371487850557329//36893488147419103232	5042107690220463//295147905179352825856	3967026776006239//147573952589676412928	-6949999379215283//73786976294838206464	2693431600165791//36893488147419103232	4503455201265663//4503599627370496	4685040186937919//18446744073709551616	2667866853106253//36028797018963968	-3126365013521421//36028797018963968	4228380615589137//72057594037927936	-1372238640438463//2305843009213693952	7781419320727237//36028797018963968	7305128302146031//36028797018963968	-5572696119083141//18014398509481984	-1740042867616655//9007199254740992	-1289406240603131//2251799813685248	901238382546559//1125899906842624	7410548290215491//9007199254740992	6868351033038665//36028797018963968	-7319072881863957//18014398509481984	4417439051761143//4503599627370496	8591793495785679//9007199254740992	-3518818490609937//4503599627370496	-859937856782281//1125899906842624	8277158146143947//9007199254740992	9005217049267087//9007199254740992	-9002828968255903//9007199254740992	-9005596165153729//9007199254740992	3047769909522125//9007199254740992	2250306108968077//2251799813685248	-4500914280720099//4503599627370496	9004107124490561//9007199254740992	4502278578076253//4503599627370496	-4502574934406049//4503599627370496	-281210029954501//281474976710656	1125557459591277//1125899906842624	-2251364609238429//2251799813685248	635273931536301//1125899906842624	1125723996628101//1125899906842624	-8997020635315339//9007199254740992	-562573127986625//562949953421312	4502166014974051//4503599627370496	9005060116120875//9007199254740992	1125142629750357//1125899906842624	4502984869539067//4503599627370496
-6001504791078999//18446744073709551616	4004136723950787//73786976294838206464	3501476272127407//18446744073709551616	-1397601169250405//2305843009213693952	-4694052295981501//18446744073709551616	-4166920595764309//36893488147419103232	7979093583261829//590295810358705651712	-355285700206837//576460752303423488	-9000225775029359//18446744073709551616	9006992370338315//9007199254740992	7147346153776937//18014398509481984	3418659797383627//72057594037927936	-6857065137107935//36028797018963968	-7566680268969525//36028797018963968	-2974732882273143//9007199254740992	1107633743728871//4503599627370496	-8238505889759925//36028797018963968	-5849606819071101//9007199254740992	-5058766649722113//9007199254740992	3011181538181693//4503599627370496	2917640221260869//4503599627370496	-1144596343574917//9007199254740992	4596691465486929//9007199254740992	2341591653196821//9007199254740992	6904893771804451//9007199254740992	-4502033750103965//4503599627370496	-5719698665125691//36028797018963968	-9005683291068323//9007199254740992	-3796288565914447//9007199254740992	-4203360830989297//4503599627370496	6489943085693805//9007199254740992	-9003418963777135//9007199254740992	-2251220805371359//2251799813685248	-1125620718639689//1125899906842624	-9000588788926519//9007199254740992	4502539509331405//4503599627370496	8999470938526369//9007199254740992	8994029946459825//9007199254740992	8989910120454981//9007199254740992	9004442321390437//9007199254740992	9005471374817413//9007199254740992	-3987738874448539//4503599627370496	7245886224091793//9007199254740992	-8993561195293119//9007199254740992	-4501862865591863//4503599627370496	4501291108976383//4503599627370496	5326698386347821//9007199254740992	1125461119507817//1125899906842624
